[2018-09-20 19:32:58] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@707dd1d1 (No operations allowed after connection closed.)
[2018-09-20 19:33:03] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@100d2ff9 (No operations allowed after connection closed.)
[2018-09-20 19:33:03] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@192bd8c3 (No operations allowed after connection closed.)
[2018-09-20 19:33:08] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3d450c9b (No operations allowed after connection closed.)
[2018-09-20 19:33:08] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5e7e046d (No operations allowed after connection closed.)
[2018-09-20 19:33:13] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4093b52a (No operations allowed after connection closed.)
[2018-09-20 19:33:13] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1a67afd3 (No operations allowed after connection closed.)
[2018-09-20 19:50:56] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6c128dd5 (No operations allowed after connection closed.)
[2018-09-20 19:50:56] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@633092e3 (No operations allowed after connection closed.)
[2018-09-20 19:51:01] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@42b69044 (No operations allowed after connection closed.)
[2018-09-20 19:51:01] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@43e3cdc9 (No operations allowed after connection closed.)
[2018-09-20 19:51:06] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@328ef8c8 (No operations allowed after connection closed.)
[2018-09-20 19:51:06] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6300b507 (No operations allowed after connection closed.)
[2018-09-20 19:51:11] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4c0940e (No operations allowed after connection closed.)
[2018-09-20 19:51:11] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@10191b0e (No operations allowed after connection closed.)
[2018-09-20 19:51:16] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3c53b9b3 (No operations allowed after connection closed.)
[2018-09-20 19:51:16] [WARN ] [com.zaxxer.hikari.pool.PoolBase:173]-- HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@66db9df9 (No operations allowed after connection closed.)
